date,open,high,low,close,volume
2026-03-12 09:00:00,204000,205500,204000,205000,13022
2026-03-12 09:01:00,204500,205000,203500,204000,4044
2026-03-12 09:02:00,203500,204000,202500,203000,8565
2026-03-12 09:03:00,203000,203000,202000,202500,4527
2026-03-12 09:04:00,202750,204000,202000,203500,6149
2026-03-12 09:05:00,203500,204000,202500,204000,5294
2026-03-12 09:06:00,204000,204500,203000,203500,4588
2026-03-12 09:07:00,203000,203500,202500,203000,2294
2026-03-12 09:08:00,202500,203000,202000,202500,3962
2026-03-12 09:09:00,202500,202500,202000,202000,338
2026-03-12 09:10:00,202000,202500,202000,202500,811
2026-03-12 09:11:00,202250,203000,202000,202500,4297
2026-03-12 09:12:00,202500,203000,202500,203000,1876
2026-03-12 09:13:00,203000,203000,202500,203000,1540
2026-03-12 09:14:00,202500,203000,202000,202500,3516
2026-03-12 09:15:00,202500,203000,202000,202500,1571
2026-03-12 09:16:00,202500,202500,202000,202000,1302
2026-03-12 09:17:00,202500,203000,202000,203000,1452
2026-03-12 09:18:00,203000,203000,202500,202500,1187
2026-03-12 09:19:00,202500,203000,202000,202750,1840
2026-03-12 09:20:00,202500,203000,202500,203000,644
2026-03-12 09:21:00,202750,203000,202000,202000,2522
2026-03-12 09:22:00,202000,202500,201000,201500,10546
2026-03-12 09:23:00,201500,202000,201000,201000,2233
2026-03-12 09:24:00,201000,201500,201000,201000,1286
2026-03-12 09:25:00,201500,201500,200500,201000,3788
2026-03-12 09:26:00,201000,201000,200500,201000,3514
2026-03-12 09:27:00,201000,201000,200500,200500,447
2026-03-12 09:28:00,200500,201500,200500,201000,4486
2026-03-12 09:29:00,201000,201500,201000,201500,402
2026-03-12 09:30:00,201000,201500,201000,201500,979
2026-03-12 09:31:00,201500,201500,201000,201500,1471
2026-03-12 09:32:00,201500,201500,201000,201000,737
2026-03-12 09:33:00,201000,201500,201000,201500,522
2026-03-12 09:34:00,201000,201500,201000,201500,1403
2026-03-12 09:35:00,201500,201500,201000,201500,1406
2026-03-12 09:36:00,201500,201500,201000,201000,5357
2026-03-12 09:37:00,201000,201000,200000,200500,9199
2026-03-12 09:38:00,200500,201000,200000,200500,3541
2026-03-12 09:39:00,201000,201000,200500,201000,3198
2026-03-12 09:40:00,200500,201500,200500,201000,6404
2026-03-12 09:41:00,201000,201500,201000,201500,568
2026-03-12 09:42:00,201500,202000,201000,201500,3047
2026-03-12 09:43:00,201500,202000,201500,201750,268
2026-03-12 09:44:00,202000,203000,201500,203000,4191
2026-03-12 09:45:00,202500,203000,202000,202500,516
2026-03-12 09:46:00,202000,202500,202000,202000,346
2026-03-12 09:47:00,202500,202500,202000,202000,314
2026-03-12 09:48:00,202000,202500,202000,202000,120
2026-03-12 09:49:00,202000,202500,202000,202000,614
2026-03-12 09:50:00,202500,203000,202000,202750,2203
2026-03-12 09:51:00,203000,203000,202500,202500,892
2026-03-12 09:52:00,203000,203000,202500,202500,723
2026-03-12 09:53:00,202500,203000,202500,203000,448
2026-03-12 09:54:00,202500,203000,202500,202500,774
2026-03-12 09:55:00,202500,203000,202500,202500,397
2026-03-12 09:56:00,202500,203500,202500,203000,4091
2026-03-12 09:57:00,203500,203500,202500,202500,804
2026-03-12 09:58:00,203000,203000,202500,203000,357
2026-03-12 09:59:00,202500,203000,202000,202500,1058
2026-03-12 10:00:00,202500,202500,202000,202000,337
2026-03-12 10:01:00,202000,202500,202000,202000,635
2026-03-12 10:02:00,202500,202500,202000,202500,282
2026-03-12 10:03:00,202000,202500,202000,202500,219
2026-03-12 10:04:00,202000,203000,202000,202500,2136
2026-03-12 10:05:00,202500,203000,202500,203000,1693
2026-03-12 10:06:00,202500,203000,202500,202500,845
2026-03-12 10:07:00,203000,203000,202000,202500,909
2026-03-12 10:08:00,202500,202500,202000,202000,362
2026-03-12 10:09:00,202500,203000,202000,203000,1114
2026-03-12 10:10:00,202500,203000,202500,202500,709
2026-03-12 10:11:00,202500,203000,202500,202500,268
2026-03-12 10:12:00,203000,203000,202500,202500,503
2026-03-12 10:13:00,203000,203500,202500,203000,2228
2026-03-12 10:14:00,203000,203500,203000,203000,297
2026-03-12 10:15:00,203000,203500,203000,203500,707
2026-03-12 10:16:00,203000,203500,203000,203000,368
2026-03-12 10:17:00,203000,203500,203000,203000,746
2026-03-12 10:18:00,203500,203500,202500,202500,1380
2026-03-12 10:19:00,202500,203000,202500,202500,357
2026-03-12 10:20:00,202500,203000,202500,203000,325
2026-03-12 10:21:00,202500,203000,202500,202500,464
2026-03-12 10:22:00,202500,203000,202500,203000,353
2026-03-12 10:23:00,202500,203000,202500,202500,354
2026-03-12 10:24:00,202500,203000,202500,203000,519
2026-03-12 10:25:00,202750,203000,202500,203000,521
2026-03-12 10:26:00,202500,203000,202500,203000,431
2026-03-12 10:27:00,202500,203000,202500,202500,2952
2026-03-12 10:28:00,202500,203000,202000,202500,2189
2026-03-12 10:29:00,203000,203000,202500,203000,420
2026-03-12 10:30:00,203000,203000,202500,202500,869
2026-03-12 10:31:00,202500,203000,202500,203000,618
2026-03-12 10:32:00,203000,203500,202500,203000,3705
2026-03-12 10:33:00,203000,203500,203000,203000,1083
2026-03-12 10:34:00,203000,203500,203000,203000,599
2026-03-12 10:35:00,203500,203500,203000,203000,490
2026-03-12 10:36:00,203000,203500,203000,203500,1449
2026-03-12 10:37:00,203000,203500,203000,203500,522
2026-03-12 10:38:00,203250,203500,203000,203000,322
2026-03-12 10:39:00,203000,203500,203000,203000,467
2026-03-12 10:40:00,203000,203500,203000,203000,1178
2026-03-12 10:41:00,203000,203500,203000,203500,180
2026-03-12 10:42:00,203000,203500,202500,203000,4572
2026-03-12 10:43:00,203000,203500,203000,203000,1701
2026-03-12 10:44:00,203000,203500,203000,203500,1190
2026-03-12 10:45:00,203500,203500,203000,203000,369
2026-03-12 10:46:00,203000,203500,203000,203500,268
2026-03-12 10:47:00,203500,203500,203000,203000,1504
2026-03-12 10:48:00,203500,203500,203000,203000,672
2026-03-12 10:49:00,203000,203500,203000,203250,1207
2026-03-12 10:50:00,203500,203500,203000,203000,1487
2026-03-12 10:51:00,203500,204000,203000,203500,4977
2026-03-12 10:52:00,203500,204000,203500,203500,2184
2026-03-12 10:53:00,203500,204000,203500,203500,895
2026-03-12 10:54:00,203500,204500,203500,204000,4126
2026-03-12 10:55:00,204500,204500,203500,203500,1229
2026-03-12 10:56:00,203500,204000,203500,204000,289
2026-03-12 10:57:00,204000,204000,203500,203500,388
2026-03-12 10:58:00,203500,204000,203500,203500,177
2026-03-12 10:59:00,204000,204000,203500,204000,700
2026-03-12 11:00:00,204000,204000,203500,203500,367
2026-03-12 11:01:00,204000,204000,203000,203500,1174
2026-03-12 11:02:00,203250,203500,203000,203500,168
2026-03-12 11:03:00,203500,203500,203000,203000,128
